"Response","Question.Tag","Seven.Vital.Conditions","Sub.Condition","Tags","Location","Date","Facilitator","Note.Taker","AssignedCondition"
"focus on the middle","Ideas for Innovation","Work & Financial Health (W&FH)","Not Marked","","Fox Cities Leaders",2019-08-28,"Beth Flaherty","Jason Schulist","Not Marked"
"depends on where and how you grow wealthy trending up lower income less likely","Are we trending up or down?","Work & Financial Health (W&FH)","Not Marked","","Menasha HS",NA,"Chloe Hietpas & Sophie","Peter Kelly","Not Marked"
"access to resources and role models will affect the direction","Are we trending up or down?","Health & Safety (H&S)","Not Marked","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Not Marked"
"potential for every child to have a better future but it depends on how we engage on our community s growth","Are we trending up or down?","Healthy Environment (HE)","Not Marked","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Not Marked"
"today we are more aware of issues light being shown on them","Are we trending up or down?","Health & Safety (H&S)","Not Marked","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Not Marked"
"up better resources","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","Not Marked","","Fox Cities Convention and Visitors Bureau",2019-07-09,"Liz Wollenberg","","Not Marked"
"up technological improvements","Are we trending up or down?","Health & Safety (H&S)","Not Marked","","Fox Cities Convention and Visitors Bureau",2019-07-09,"Liz Wollenberg","","Not Marked"
"positive being comfortable","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","Not Marked","","Fox Valley Technical College - Students",2019-05-08,"Melissa Christman","Carol Wedig","Not Marked"
"lack of knowledge of available sources","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","Not Marked","","Outagamie County Health",2019-04-25,"Mike Sandercock","Penny Robinson","Not Marked"
"silver sneakers","Ideas for Innovation","Health & Safety (H&S)","Not Marked","","Outagamie County Health",2019-06-01,"Mike Sandercock","Penny Robinson","Not Marked"
"technology yes no","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","Not Marked","","Outagamie County Health",2019-05-06,"Mike Sandercock","Penny Robinson","Not Marked"
"happiness","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","Not Marked","","FVTC",2019-05-09,"Penny Robinson","Mike Sandercock","Not Marked"
"physical social emotional financial safety spiritual health","""Well Being"" brings to mind?","Health & Safety (H&S)","Not Marked","","FVTC",2019-05-09,"Penny Robinson","Mike Sandercock","Not Marked"
"wellbeing better than average","Best part of living here?","Healthy Environment (HE)","Not Marked","","First English Lutheran Church",2019-04-03,"Penny Robinson","Mike Sandercock","Not Marked"
"depends on current self motivation","Are we trending up or down?","Not Marked","Not Marked","","United Way Youth Board",2019-04-28,"","","Not Marked"
"social media sometimes","Barriers to community well-being?","Not Marked","Not Marked","","United Way Youth Board",2019-04-17,"","","Not Marked"
"you re in control when you re older better","Are we trending up or down?","Health & Safety (H&S)","Not Marked","","United Way Youth Board",2019-04-29,"","","Not Marked"
